epochs,4 frames,8 frames,12 frames
10,0.607084,0.641406,0.697233
20,0.62882,0.706167,0.731957
30,0.636051,0.725483,0.748769
40,0.666279,0.733774,0.754684
50,0.678488,0.744895,0.764155
60,0.683921,0.755417,0.76802
70,0.692492,0.761437,0.76889
80,0.702926,0.768809,0.764913
90,0.709781,0.767827,0.77453
100,0.722073,0.768281,0.776997
110,0.724234,0.774482,0.777104
120,0.72827,0.775599,0.78082
130,0.737142,0.782686,0.776912
140,0.739166,0.775085,0.777981
150,0.748977,0.780555,0.781267
160,0.746212,0.78366,0.785677
170,0.748837,0.783498,0.781722
180,0.749556,0.778648,0.78428
190,0.751099,0.784201,0.776588
200,0.755314,0.787989,0.77788
210,0.753823,0.788555,0.779751
220,0.610589,0.786155,0.774195
230,0.647614,0.788601,0.778393
240,0.667962,0.784044,0.776093
250,0.683583,0.787022,0.779074
260,0.688953,0.784875,0.773692
270,0.702479,0.792127,0.774329
280,0.713666,0.788254,0.774874
290,0.70623,0.789312,0.770906
300,0.722156,0.785342,0.768076
310,0.722559,0.781903,0.771412
320,0.728664,0.788769,0.766806
330,0.732121,0.787437,0.767797
340,0.736402,0.784804,0.763655
350,0.73861,0.784472,0.76368
360,0.737047,0.779131,0.763506
370,0.737473,0.778423,0.775121
380,0.739984,0.783455,0.764222
390,0.741438,0.775897,0.762961
400,0.743139,0.770054,0.765521
